orders10.csv,,,,
Client Order ID,Instrument,Side,Quantity,Price
aa210,Rose,1,100,40
aa211,Lavender,1,50,55
aa212,Orchid,1,100,18
aa213,Tulip,1,200,22
aa214,Rose,1,300,28
aa215,Lavender,1,100,35
aa216,Orchid,1,200,42
aa217,Tulip,1,50,48
aa218,Rose,1,100,55
aa219,Lavender,1,200,10
aa220,Orchid,1,300,15
aa221,Tulip,1,100,20
aa222,Rose,1,250,30
aa223,Lavender,1,100,40
aa224,Orchid,1,50,55
aa225,Tulip,1,100,18
aa226,Rose,1,200,22
aa227,Lavender,1,100,28
aa228,Orchid,1,250,35
aa229,Tulip,1,100,42
aa230,Rose,1,50,48
aa231,Lavender,1,200,55
aa232,Orchid,1,100,10
aa233,Tulip,1,300,15
aa234,Rose,1,100,20
aa235,Lavender,1,250,30
aa236,Orchid,1,100,40
aa237,Tulip,1,50,55
aa238,Rose,1,100,18
aa239,Lavender,1,200,22
aa240,Orchid,1,300,28
aa241,Tulip,1,100,35
aa242,Rose,1,200,42
aa243,Lavender,1,50,48
aa244,Orchid,1,100,55
aa245,Tulip,1,200,10
aa246,Rose,1,250,15
aa247,Lavender,1,100,20
aa248,Orchid,1,300,30
aa249,Tulip,1,100,40
aa250,Rose,1,50,55
aa251,Lavender,1,100,18
aa252,Orchid,1,200,22
aa253,Tulip,1,250,28
aa254,Rose,1,100,35
aa255,Lavender,1,200,42
aa256,Orchid,1,300,48
aa257,Tulip,1,50,55
aa258,Rose,1,100,10
aa259,Lavender,1,200,15
aa260,Orchid,1,100,20
aa261,Tulip,1,250,30
aa262,Rose,1,100,40
aa263,Lavender,1,50,55
aa264,Orchid,1,100,18
aa265,Tulip,1,200,22
aa266,Rose,1,300,28
aa267,Lavender,1,100,35
aa268,Orchid,1,200,42
aa269,Tulip,1,50,48
aa270,Rose,1,100,55
aa271,Lavender,1,200,10
aa272,Orchid,1,300,15
aa273,Tulip,1,100,20
aa274,Rose,1,250,30
aa275,Lavender,1,100,40
aa276,Orchid,1,50,55
aa277,Tulip,1,100,18
aa278,Rose,1,200,22
aa279,Lavender,1,100,28
aa280,Orchid,1,250,35
aa281,Tulip,1,100,42
aa282,Rose,1,50,48
aa283,Lavender,1,200,55
aa284,Orchid,1,100,10
aa285,Tulip,1,300,15
aa286,Rose,1,100,20
aa287,Lavender,1,250,30
aa288,Orchid,1,100,40
aa289,Tulip,1,50,55
aa290,Rose,1,100,18
aa291,Lavender,1,200,22
aa292,Orchid,1,300,28
aa293,Tulip,1,100,35
aa294,Rose,1,200,42
aa295,Lavender,1,50,48
aa296,Orchid,1,100,55
aa297,Tulip,1,200,10
aa298,Rose,1,250,15
aa299,Lavender,1,100,20
aa300,Orchid,1,300,30
aa301,Tulip,1,100,40
aa302,Rose,1,50,55
aa303,Lavender,1,100,18
aa304,Orchid,1,200,22
aa305,Tulip,1,250,28
aa306,Rose,1,100,35
aa307,Lavender,1,200,42
aa308,Orchid,1,300,48
aa309,Tulip,1,50,55
aa310,Rose,1,100,10
aa311,Lavender,1,200,15
aa312,Orchid,1,100,20
aa313,Tulip,1,250,30
aa314,Rose,1,100,40
aa315,Lavender,1,50,55
aa316,Orchid,1,100,18
aa317,Tulip,1,200,22
aa318,Rose,1,300,28
aa319,Lavender,1,100,35
aa320,Orchid,1,200,42
aa321,Tulip,1,50,48
aa322,Rose,1,100,55
aa323,Lavender,1,200,10
aa324,Orchid,1,300,15
aa325,Tulip,1,100,20
aa326,Rose,1,250,30
aa327,Lavender,1,100,40
aa328,Orchid,1,50,55
aa329,Tulip,1,100,18
aa330,Rose,1,200,22
aa331,Lavender,1,100,28
aa332,Orchid,1,250,35
aa333,Tulip,1,100,42
aa334,Rose,1,50,48
aa335,Lavender,1,200,55
aa336,Orchid,1,100,10
aa337,Tulip,1,300,15
aa338,Rose,1,100,20
aa339,Lavender,1,250,30
aa340,Orchid,1,100,40
aa341,Tulip,1,50,55
aa342,Rose,1,100,18
aa343,Lavender,1,200,22
aa344,Orchid,1,300,28
aa345,Tulip,1,100,35
aa346,Rose,1,200,42
aa347,Lavender,1,50,48
aa348,Orchid,1,100,55
aa349,Tulip,1,200,10
aa350,Rose,1,250,15
aa351,Lavender,1,100,20
aa352,Orchid,1,300,30
aa353,Tulip,1,100,40
aa354,Rose,1,50,55
aa355,Lavender,1,100,18
aa356,Orchid,1,200,22
aa357,Tulip,1,250,28
aa358,Rose,1,100,35
aa359,Lavender,1,200,42
aa360,Orchid,1,300,48
aa361,Tulip,1,50,55
aa362,Rose,1,100,10
aa363,Lavender,1,200,15
aa364,Orchid,1,100,20
aa365,Tulip,1,250,30
aa366,Rose,1,100,40
aa367,Lavender,1,50,55
aa368,Orchid,1,100,18
aa369,Tulip,1,200,22
aa370,Rose,1,300,28
aa371,Lavender,1,100,35
aa372,Orchid,1,200,42
aa373,Tulip,1,50,48
aa374,Rose,1,100,55
aa375,Lavender,1,200,10
aa376,Orchid,1,300,15
aa377,Tulip,1,100,20
aa378,Rose,1,250,30
aa379,Lavender,1,100,40
aa380,Orchid,1,50,55
aa381,Tulip,1,100,18
aa382,Rose,1,200,22
aa383,Lavender,1,100,28
aa384,Orchid,1,250,35
aa385,Tulip,1,100,42
aa386,Rose,1,50,48
aa387,Lavender,1,200,55
aa388,Orchid,1,100,10
aa389,Tulip,1,300,15
aa390,Rose,1,100,20
aa391,Lavender,1,250,30
aa392,Orchid,1,100,40
aa393,Tulip,1,50,55
aa394,Rose,1,100,18
aa395,Lavender,1,200,22
aa396,Orchid,1,300,28
aa397,Tulip,1,100,35
aa398,Rose,1,200,42
aa399,Lavender,1,50,48
aa400,Orchid,1,100,55
aa401,Tulip,1,200,10
aa402,Rose,1,250,15
aa403,Lavender,1,100,20
aa404,Orchid,1,300,30
aa405,Tulip,1,100,40
aa406,Rose,1,50,55
aa407,Lavender,1,100,18
aa408,Orchid,1,200,22
aa409,Tulip,1,250,28
aa410,Rose,1,100,35
aa411,Lavender,1,200,42
aa412,Orchid,1,300,48
aa413,Tulip,1,50,55
aa414,Rose,1,100,10
aa415,Lavender,1,200,15
aa416,Orchid,1,100,20
aa417,Tulip,1,250,30
aa418,Rose,1,100,40
aa419,Lavender,1,50,55
aa420,Orchid,1,100,18
aa421,Tulip,1,200,22
aa422,Rose,1,300,28
aa423,Lavender,1,100,35
aa424,Orchid,1,200,42
aa425,Tulip,1,50,48
aa426,Rose,1,100,55
aa427,Lavender,1,200,10
aa428,Orchid,1,300,15
aa429,Tulip,1,100,20
aa430,Rose,1,250,30
aa431,Lavender,1,100,40
aa432,Orchid,1,50,55
aa433,Tulip,1,100,18
aa434,Rose,1,200,22
aa435,Lavender,1,100,28
aa436,Orchid,1,250,35
aa437,Tulip,1,100,42
aa438,Rose,1,50,48
aa439,Lavender,1,200,55
aa440,Orchid,1,100,10
aa441,Tulip,1,300,15
aa442,Rose,1,100,20
aa443,Lavender,1,250,30
aa444,Orchid,1,100,40
aa445,Tulip,1,50,55
aa446,Rose,1,100,18
aa447,Lavender,1,200,22
aa448,Orchid,1,300,28
aa449,Tulip,1,100,35
aa450,Rose,1,200,42
aa451,Lavender,1,50,48
aa452,Orchid,1,100,55
aa453,Tulip,1,200,10
aa454,Rose,1,250,15
aa455,Lavender,1,100,20
aa456,Orchid,1,300,30
aa457,Tulip,1,100,40
aa458,Rose,1,50,55
aa459,Lavender,1,100,18
aa460,Orchid,1,200,22
aa461,Tulip,1,250,28
aa462,Rose,1,100,35
aa463,Lavender,1,200,42
aa464,Orchid,1,300,48
aa465,Tulip,1,50,55
aa466,Rose,1,100,10
aa467,Lavender,1,200,15
aa468,Orchid,1,100,20
aa469,Tulip,1,250,30
aa470,Rose,1,100,40
aa471,Lavender,1,50,55
aa472,Orchid,1,100,18
aa473,Tulip,1,200,22
aa474,Rose,1,300,28
aa475,Lavender,1,100,35
aa476,Orchid,1,200,42
aa477,Tulip,1,50,48
aa478,Rose,1,100,55
aa479,Lavender,1,200,10
aa480,Orchid,1,300,15
aa481,Tulip,1,100,20
aa482,Rose,1,250,30
aa483,Lavender,1,100,40
aa484,Orchid,1,50,55
aa485,Tulip,1,100,18
aa486,Rose,1,200,22
aa487,Lavender,1,100,28
aa488,Orchid,1,250,35
aa489,Tulip,1,100,42
aa490,Rose,1,50,48
aa491,Lavender,1,200,55
aa492,Orchid,1,100,10
aa493,Tulip,1,300,15
aa494,Rose,1,100,20
aa495,Lavender,1,250,30
aa496,Orchid,1,100,40
aa497,Tulip,1,50,55
